VAR, token_var
x, token_identifier
,, token_comma
y, token_identifier
;, token_semicolon
BEGIN, token_begin
x, token_identifier
:=, token_assign
10, token_number
;, token_semicolon
y, token_identifier
:=, token_assign
0, token_number
;, token_semicolon
WHILE, token_while
x, token_identifier
>, token_greater
0, token_number
DO, token_do
BEGIN, token_begin
y, token_identifier
:=, token_assign
y, token_identifier
+, token_plus
x, token_identifier
;, token_semicolon
x, token_identifier
:=, token_assign
x, token_identifier
-, token_minus
1, token_number
END, token_end
END, token_end
., token_period
