CONST, token_const
limite, token_identifier
=, token_equal
5, token_number
,, token_comma
inicio, token_identifier
=, token_equal
0, token_number
;, token_semicolon
VAR, token_var
i, token_identifier
;, token_semicolon
BEGIN, token_begin
i, token_identifier
:=, token_assign
inicio, token_identifier
;, token_semicolon
WHILE, token_while
i, token_identifier
<=, token_less_eq
limite, token_identifier
DO, token_do
BEGIN, token_begin
IF, token_if
ODD, token_odd
i, token_identifier
THEN, token_then
i, token_identifier
:=, token_assign
i, token_identifier
+, token_plus
1, token_number
;, token_semicolon
i, token_identifier
:=, token_assign
i, token_identifier
+, token_plus
1, token_number
END, token_end
END, token_end
., token_period
