const, token_const
max, token_identifier
=, token_equal
5, token_number
;, token_semicolon
var, token_var
n, token_identifier
,, token_comma
result, token_identifier
;, token_semicolon
procedure, token_procedure
factorial, token_identifier
;, token_semicolon
var, token_var
i, token_identifier
;, token_semicolon
begin, token_begin
result, token_identifier
:=, token_assign
1, token_number
;, token_semicolon
i, token_identifier
:=, token_assign
n, token_identifier
;, token_semicolon
while, token_while
i, token_identifier
>, token_greater
0, token_number
do, token_do
begin, token_begin
result, token_identifier
:=, token_assign
result, token_identifier
*, token_multiply
i, token_identifier
;, token_semicolon
i, token_identifier
:=, token_assign
i, token_identifier
-, token_minus
1, token_number
;, token_semicolon
end, token_end
end, token_end
;, token_semicolon
begin, token_begin
n, token_identifier
:=, token_assign
max, token_identifier
;, token_semicolon
call, token_call
factorial, token_identifier
;, token_semicolon
!, token_error
result, token_identifier
;, token_semicolon
end, token_end
., token_period
