const, token_const
max, token_identifier
=, token_equal
10, token_number
;, token_semicolon
var, token_var
variavelComNomeM, token_truncated_id
,, token_comma
sum, token_identifier
;, token_semicolon
begin, token_begin
sum, token_identifier
:=, token_assign
0, token_number
;, token_semicolon
variavelComNomeM, token_truncated_id
:=, token_assign
1, token_number
;, token_semicolon
while, token_while
variavelComNomeM, token_truncated_id
<=, token_less_eq
max, token_identifier
do, token_do
begin, token_begin
sum, token_identifier
:=, token_assign
sum, token_identifier
+, token_plus
variavelComNomeM, token_truncated_id
;, token_semicolon
variavelComNomeM, token_truncated_id
:=, token_assign
variavelComNomeM, token_truncated_id
+, token_plus
1, token_number
end, token_end
end, token_end
., token_period
